,name,position
8479353,Brett Howden,C
8479364,Tim Gettinger,L
8467329,Vincent Lecavalier,C
8468309,Mark Streit,D
8468513,Nick Schultz,D
8469469,R.J. Umberger,C
8470644,Colin McDonald,R
8471762,Chris VandeVelde,C
8473466,Ryan White,C
8473512,Claude Giroux,C
8473584,Andrew MacDonald,D
8474040,Sam Gagner,C
8474161,Jakub Voracek,R
8474190,Wayne Simmonds,R
8474568,Luke Schenn,D
8474584,Michael Del Zotto,D
8475170,Brayden Schenn,C
8475430,Brandon Manning,D
8475462,Radko Gudas,D
8475738,Jordan Weal,C
8476177,Matt Read,R
8476393,Nick Cousins,C
8476461,Sean Couturier,C
8476872,Scott Laughton,C
8476906,Shayne Gostisbehere,D
8476955,Taylor Leier,L
8477290,Michael Raffl,L
8477930,Pierre-Edouard Bellemare,C
8478563,Evgeny Medvedev,D
8473461,Steve Mason,G
8473607,Michal Neuvirth,G
8470047,Valtteri Filppula,C
8470159,Boyd Gordon,C
8474668,Dale Weise,R
8477462,Robert Hagg,D
8477502,Samuel Morin,D
8478439,Travis Konecny,R
8478500,Ivan Provorov,D
8479648,Roman Lyubimov,L
8480087,Mike Vecchione,R
8476932,Anthony Stolarz,G
8469665,Johnny Oduya,D
8473440,Will O'Neill,D
8474627,Jori Lehtera,C
8475729,Mark Alt,D
8477399,Tyrell Goulbourne,L
8477948,Travis Sanheim,D
8478067,Oskar Lindblom,L
8478365,Danick Martel,L
8479974,Nolan Patrick,C
8470880,Brian Elliott,G
8475852,Petr Mrazek,G
8479312,Alex Lyon,G
8474037,James van Riemsdyk,L
8475260,Corban Knight,C
8475321,Phil Varone,C
8477451,Ryan Hartman,R
8477473,Justin Bailey,R
8477850,Christian Folin,D
8477979,Nicolas Aube-Kubel,R
8478017,Mark Friedman,D
8478844,Mikhail Vorobyev,C
8479026,Philippe Myers,D
8470093,Mike McKenna,G
8475660,Cam Talbot,G
8475717,Calvin Pickard,G
8479394,Carter Hart,G
8464989,Matt Cullen,C
8466393,Pascal Dupuis,R
8467452,Rob Scuderi,D
8470110,Trevor Daley,D
8470543,Chris Kunitz,L
8470611,Eric Fehr,C
