,name,position
8477205,Andrej Sustr,D
8477326,Joel Vermin,R
8477494,Jonathan Drouin,L
8471750,Ben Bishop,G
8476883,Andrei Vasilevskiy,G
8477356,Kristers Gudlevskis,G
8475254,Gabriel Dumont,C
8475278,Byron Froese,C
8475735,Greg McKegg,C
8475739,Michael Bournival,L
8476195,Cory Conacher,C
8476285,Matthew Peca,C
8476911,Tanner Richard,C
8477009,Jake Dotchin,D
8477454,Adam Erne,L
8478010,Brayden Point,C
8469514,Peter Budaj,G
8470543,Chris Kunitz,L
8471958,Dan Girardi,D
8474151,Ryan McDonagh,D
8476468,J.T. Miller,C
8478519,Anthony Cirelli,C
8479410,Mikhail Sergachev,D
8475839,Louis Domingue,G
8474611,Cameron Gaunce,D
8478365,Danick Martel,L
8478416,Erik Cernak,D
8478472,Mathieu Joseph,R
8480172,Jan Rutta,D
8475277,Edward Pasquale,G
8466251,Jason Chimera,L
8468498,Brooks Orpik,D
8468508,Justin Williams,R
8469639,Brooks Laich,C
8470617,Mike Richards,C
8471214,Alex Ovechkin,L
8471476,Daniel Winnik,L
8471698,T.J. Oshie,R
8471702,Matt Niskanen,D
8471710,Taylor Chorney,D
8473426,Mike Weber,D
8473563,Nicklas Backstrom,C
8473991,Karl Alzner,D
8474008,Paul Carey,C
8474291,Jay Beagle,C
8474590,John Carlson,D
8474604,Aaron Ness,D
8474744,Sean Collins,C
8475119,Zach Sill,C
8475149,Marcus Johansson,L
8475161,Chris Brown,R
8475200,Dmitry Orlov,D
8475247,Michael Latta,C
8475598,Ryan Stanton,D
8475744,Evgeny Kuznetsov,C
8475816,Stanislav Galiev,R
8476880,Tom Wilson,R
8476905,Chandler Stephenson,C
8476941,Connor Carrick,D
8477220,Nate Schmidt,D
8477444,Andre Burakovsky,L
8474651,Braden Holtby,G
8475831,Philipp Grubauer,G
8474031,Kevin Shattenkirk,D
8474189,Lars Eller,C
8475291,Garrett Mitchell,R
8475792,Brett Connolly,R
8477003,Riley Barber,R
8477070,Liam O'Brien,C
8477482,Zach Sanford,L
8477944,Jakub Vrana,L
8474061,Anthony Peluso,R
8475163,Alex Chiasson,R
8475758,Devante Smith-Pelly,R
8476329,Travis Boyd,C
8476344,Tyler Graovac,C
8477043,Christian Djoos,D
8477474,Madison Bowey,D
8477573,Nathan Walker,L
8478063,Shane Gersich,L
8479482,Michal Kempny,D
8480143,Jakub Jerabek,D
8474176,Carl Hagelin,L
8475324,Nick Jensen,D
8475343,Nic Dowd,C
8476436,Dmitrij Jaskin,R
8477343,Tyler Lewington,D
8478399,Jonas Siegenthaler,D
8477831,Pheonix Copley,G
8465058,Michal Rozsival,D
8466148,Marian Hossa,R
8467452,Rob Scuderi,D
8469555,Christian Ehrhoff,D
8470039,Tomas Fleischmann,L
8470110,Trevor Daley,D
8470281,Duncan Keith,D
8470607,Brent Seabrook,D
8471217,Andrew Ladd,L
8471254,Bryan Bickell,L
8471769,Niklas Hjalmarsson,D
8471956,Andrew Desjardins,L
8473573,Artem Anisimov,C
8473604,Jonathan Toews,C
8474141,Patrick Kane,R
8474588,Viktor Tikhonov,R
8474668,Dale Weise,R
8474850,Brandon Mashinter,L
8475182,David Rundblad,D
8475209,Richard Panik,R
8475323,Marcus Kruger,C
8476116,Ryan Garbutt,C
8476381,Andrew Shaw,R
8476471,Mark McNeill,C
8476479,Phillip Danault,C
8476882,Teuvo Teravainen,L
8476979,Erik Gustafsson,D
8476994,Vinnie Hinostroza,R
8477300,Viktor Svedberg,D
8477448,Marko Dano,C
8477451,Ryan Hartman,R
8477845,Trevor van Riemsdyk,D
8477929,Dennis Rasmussen,C
8478137,Jiri Sekac,L
8478393,Kyle Baun,R
8478528,Tanner Kero,C
8478550,Artemi Panarin,L
8468038,Michael Leighton,G
8470645,Corey Crawford,G
8474152,Scott Darling,G
8466285,Brian Campbell,D
8469547,Jordin Tootoo,R
8469665,Johnny Oduya,D
8476430,Tomas Jurco,R
8476805,Spencer Abbott,L
8477353,Tyler Motte,C
8477401,John Hayden,C
8477951,Nick Schmaltz,C
8478055,Gustav Forsling,D
8479482,Michal Kempny,D
8469544,Patrick Sharp,L
8471742,Cody Franson,D
8474642,Lance Bouma,L
8474739,Tommy Wingels,C
8476438,Brandon Saad,L
8476473,Connor Murphy,D
8477407,Anthony Duclair,L
8477472,Carl Dahlstrom,D
8477851,Jordan Oesterle,D
8478106,Dylan Sikura,R
8478146,Matthew Highmore,C
8478561,Andreas Martinsen,L
8479337,Alex DeBrincat,L
8479595,Blake Hillman,D
8480144,David Kampf,C
8480153,Victor Ejdsell,C
8480172,Jan Rutta,D
8471301,Jeff Glass,G
8475234,J-F Berube,G
8476341,Anton Forsberg,G
8479138,Scott Foster,G
8480420,Collin Delia,G
8470543,Chris Kunitz,L
8475430,Brandon Manning,D
8475869,Brandon Davidson,D
8476886,Slater Koekkoek,D
8477366,Luke Johnson,C
8477943,Brendan Perlini,L
8478440,Dylan Strome,C
8478502,Dennis Gilbert,D
8479465,Drake Caggiula,C
8479657,Alexandre Fortin,L
8480035,Henri Jokiharju,D
8480946,Dominik Kahun,C
8480954,Jacob Nilsson,C
8470320,Cam Ward,G
8467389,Brad Richards,C
8467514,Pavel Datsyuk,C
8468083,Henrik Zetterberg,C
8468509,Niklas Kronwall,D
8470318,Jonathan Ericsson,D
8470724,Kyle Quincey,D
8470778,Drew Miller,L
8471242,Mike Green,D
8471309,Johan Franzen,R
8471693,Jakub Kindl,D
8471716,Justin Abdelkader,L
8471794,Darren Helm,L
8474025,Eric Tangradi,L
8474090,Brendan Smith,D
8474168,Joakim Andersson,C
8474679,Gustav Nyquist,C
8475157,Landon Ferraro,C
8475193,Tomas Tatar,L
8475772,Riley Sheahan,C
8475800,Teemu Pulkkinen,L
8476289,Alexey Marchenko,D
8476430,Tomas Jurco,R
8476443,Xavier Ouellet,D
8476822,Luke Glendening,C
8476960,Andreas Athanasiou,C
8477215,Danny DeKeyser,D
8477511,Anthony Mantha,R
8477931,Tomas Nosek,L
8477946,Dylan Larkin,C
8470657,Jimmy Howard,G
8475852,Petr Mrazek,G
8468505,Steve Ott,C
8470144,Frans Nielsen,C
8470598,Thomas Vanek,L
8474873,Brian Lashoff,D
8475296,Mitch Callahan,R
8475324,Nick Jensen,D
8476043,Ben Street,C
8476418,Robbie Russo,D
8476450,Ryan Sproul,D
8477479,Tyler Bertuzzi,L
8478371,Matt Lorito,R
8478431,Evgeny Svechnikov,R
8479252,Dan Renouf,D
8477225,Jared Coreau,G
8470110,Trevor Daley,D
8471266,David Booth,L
8474722,Luke Witkowski,D
8476293,Scott Wilson,L
8476924,Martin Frk,R
8477994,Dominic Turgeon,C
8478176,Joe Hicketts,D
8475263,Wade Megan,C
8475795,Dylan McIlrath,D
8476477,Matt Puempel,L
8477455,Jacob de la Rose,C
8477474,Madison Bowey,D
8477865,Jake Chelios,D
8478036,Christoffer Ehn,C
8479395,Dennis Cholowski,D
8479425,Filip Hronek,D
8479992,Michael Rasmussen,C
8480161,Libor Sulak,D
8480821,Filip Zadina,R
8481426,Ryan Kuffner,L
8481433,Taro Hirose,L
8473541,Jonathan Bernier,G
8480363,Kaden Fulcher,G
8467370,Mike Fisher,C
8467371,Mike Ribeiro,C
8467890,Barret Jackman,D
8468700,Paul Gaustad,C
8470180,Eric Nystrom,L
8470642,Shea Weber,D
8470714,Corey Potter,D
8471707,James Neal,L
8471760,Cody Bass,C
8473658,Victor Bartley,D
8474569,Colin Wilson,C
8474570,Cody Hodgson,C
8474600,Roman Josi,D
8475176,Ryan Ellis,D
8475206,Stefan Elliott,D
8475218,Mattias Ekholm,D
8475225,Craig Smith,R
8475268,Gabriel Bourque,L
8475714,Calle Jarnkrok,C
8475766,Austin Watson,L
8475774,Petter Granberg,D
8475793,Ryan Johansen,C
8475868,Anthony Bitetto,D
8476447,Miikka Salomaki,R
8476887,Filip Forsberg,L
8476925,Colton Sissons,C
8477495,Seth Jones,D
8477942,Kevin Fiala,L
8478042,Viktor Arvidsson,R
8476857,Pontus Aberg,L
8471469,Pekka Rinne,G
8475622,Carter Hutton,G
8477424,Juuse Saros,G
8469707,PA Parenteau,R
8469759,Vernon Fiddler,C
8470640,Matt Carle,D
8471385,Adam Pardy,D
8471657,Cody McLeod,L
8473942,Trevor Smith,C
8474056,P.K. Subban,D
8474134,Yannick Weber,D
8474683,Derek Grant,C
8475436,Mike Liambas,L
8475625,Matt Irwin,D
8476158,Harry Zolnierczyk,L
8476423,Reid Boucher,C
8476779,Brad Hunt,D
8477919,Frederick Gaudreau,C
8477973,Vladislav Kamenev,C
8478851,Alexandre Carrier,D
8476992,Marek Mazanec,G
8468486,Scott Hartnell,L
8471296,Alexei Emelin,D
8474009,Nick Bonino,C
8474068,Kyle Turris,C
8477451,Ryan Hartman,R
8479398,Samuel Girard,D
8480009,Eeli Tolvanen,R
8469465,Dan Hamhuis,D
8470619,Brian Boyle,C
8474190,Wayne Simmonds,R
8474659,Matt Donovan,D
8474736,Zac Rinaldo,L
8475798,Mikael Granlund,C
8476278,Colin Blackwell,C
8476428,Rocco Grimaldi,R
8476858,Phillip Di Giuseppe,L
8478409,Anthony Richard,C
8479371,Dante Fabbro,D
8479514,Rem Pitlick,C
8467351,Scott Gomez,C
8467899,Martin Havlat,R
8468505,Steve Ott,C
8470105,Scottie Upshall,R
8470151,Jay Bouwmeester,D
8470257,Alexander Steen,L
8470378,Andre Benoit,D
8470655,David Backes,R
8470803,Kyle Brodziak,C
8471426,Troy Brouwer,R
8471669,Paul Stastny,C
8471761,Chris Butler,D
8471817,Ryan Reaves,R
8473534,Patrik Berglund,C
8474031,Kevin Shattenkirk,D
8474125,Carl Gunnarsson,D
8474145,Robert Bortuzzo,D
8474565,Alex Pietrangelo,D
8474627,Jori Lehtera,C
8475150,Jordan Caron,R
8475175,Magnus Paajarvi,L
8475765,Vladimir Tarasenko,R
8475768,Jaden Schwartz,L
8476427,Ty Rattie,R
8476436,Dmitrij Jaskin,R
8476441,Joel Edmundson,D
8476819,Jeremy Welsh,C
8476892,Colton Parayko,D
8476989,Petteri Lindbohm,D
8477952,Robby Fabbri,C
8470880,Brian Elliott,G
8474596,Jake Allen,G
8475195,Anders Nilsson,G
8476412,Jordan Binnington,G
8477831,Pheonix Copley,G
8471743,Vladimir Sobotka,C
8474102,David Perron,L
8475263,Wade Megan,C
8475844,Kenny Agostino,L
8476779,Brad Hunt,D
8476855,Nail Yakupov,R
8476877,Jordan Schmaltz,D
8477482,Zach Sanford,L
8477964,Ivan Barbashev,C
8475622,Carter Hutton,G
8469501,Chris Thorburn,R
8475170,Brayden Schenn,C
8475613,Nate Prosser,D
8475761,Beau Bennett,R
8476897,Oskar Sundqvist,C
8478104,Sammy Blais,L
8478373,Nikita Soshnikov,R
8478407,Vince Dunn,D
8479420,Tage Thompson,R
8480761,Mitch Reinke,D
8474034,Pat Maroon,L
8474584,Michael Del Zotto,D
8475098,Tyler Bozak,C
8475158,Ryan O'Reilly,C
8475325,Jordan Nolan,C
8476907,Mackenzie MacEachern,L
8479385,Jordan Kyrou,C
8480023,Robert Thomas,C
8480143,Jakub Jerabek,D
8473434,Chad Johnson,G
8468674,Deryk Engelland,D
8469770,Dennis Wideman,D
8470162,Matt Stajan,C
8470201,Jiri Hudler,R
8470877,David Jones,R
8470966,Mark Giordano,D
8471222,Ladislav Smid,D
8471664,Mason Raymond,L
8471729,Kris Russell,D
8473564,Michael Frolik,R
8474150,Mikael Backlund,C
8474577,Joe Colborne,C
8474642,Lance Bouma,L
8474673,TJ Brodie,D
8474683,Derek Grant,C
8475213,Drew Shore,C
8475650,Brandon Bollig,L
8475844,Kenny Agostino,L
8475878,Freddie Hamilton,C
8475907,Micheal Ferland,L
8476279,Jyrki Jokipakka,D
8476346,Johnny Gaudreau,L
8476440,Markus Granlund,C
8476452,Tyler Wotherspoon,D
8476462,Dougie Hamilton,D
8476505,Turner Elson,C
8476890,Patrick Sieloff,D
8476967,Brett Kulak,D
8477445,Hunter Shinkaruk,C
8477486,Emile Poirier,L
8477497,Sean Monahan,C
8477591,Josh Jooris,R
8477903,Garnet Hathaway,R
8477935,Sam Bennett,C
8478430,Oliver Kylington,D
8478562,Jakub Nakladal,D
8471403,Karri Ramo,G
8473404,Niklas Backstrom,G
8473972,Jonas Hiller,G
8475299,Joni Ortio,G
8471269,Nicklas Grossmann,D
8471346,Kris Versteeg,R
8471426,Troy Brouwer,R
8474628,Michael Stone,D
8474749,Matt Bartkowski,D
8475163,Alex Chiasson,R
8475223,Linden Vey,R
8476873,Mark Jankowski,C
8477508,Curtis Lazar,C
8478397,Rasmus Andersson,D
8479314,Matthew Tkachuk,L
8470880,Brian Elliott,G
8473434,Chad Johnson,G
8476903,Jon Gillies,G
8479496,David Rittich,G
8448208,Jaromir Jagr,R
8470854,Tanner Glass,L
8473485,Chris Stewart,R
8474612,Travis Hamonic,D
8475949,Marek Hrivik,L
8476406,Nick Shore,C
8477449,Morgan Klimchuk,L
8478233,Andrew Mangiapane,L
8479066,Ryan Lomberg,L
8480330,Spencer Foo,R
8469608,Mike Smith,G
8475663,Eddie Lack,G
8471707,James Neal,L
8474061,Anthony Peluso,R
8474774,Dalton Prout,D
8476409,Alan Quine,C
8477496,Elias Lindholm,C
8477510,Kerby Rychel,L
8478396,Noah Hanifin,D
8478512,Austin Czarnik,C
8478585,Derek Ryan,C
8479346,Dillon Dube,C
8479976,Juuso Valimaki,D
8480147,Oscar Fantenberg,D
8462042,Jarome Iginla,R
8467331,Brad Stuart,D
8467338,Alex Tanguay,L
8467400,Francois Beauchemin,D
8470317,Nate Guenin,D
8470750,John Mitchell,C
8471260,Blake Comeau,L
8471262,Carl Soderberg,C
8471657,Cody McLeod,L
8471681,Jack Skille,R
8473446,Erik Johnson,D
8473550,Andrew Bodnarchuk,D
8473574,Shawn Matthias,L
8474207,Nick Holden,D
8474571,Mikkel Boedker,L
8474743,Zach Redmond,D
8475168,Matt Duchene,C
8475197,Tyson Barrie,D
8475199,Eric Gelinas,D
8475461,Andrew Agozzino,L
8475759,Brandon Gormley,D
8475780,Chris Wagner,R
8476043,Ben Street,C
8476455,Gabriel Landeskog,L
8476888,Mikhail Grigorenko,C
8477453,Chris Bigras,D
8477492,Nathan MacKinnon,C
8477507,Nikita Zadorov,D
8477902,Dennis Everberg,R
8477916,Borna Rendulic,R
8478420,Mikko Rantanen,R
8478561,Andreas Martinsen,L
8473499,Reto Berra,G
8473575,Semyon Varlamov,G
8475717,Calvin Pickard,G
8477914,Roman Will,G
8469492,Fedor Tyutin,D
8471504,Rene Bourque,R
8474577,Joe Colborne,C
8474597,Cody Goloubef,D
8474605,Patrick Wiercioch,D
8474717,Mark Barberio,D
8474727,Ben Smith,R
8475268,Gabriel Bourque,L
8476428,Rocco Grimaldi,R
8476442,Matt Nieto,L
8476464,Duncan Siemens,D
8476511,Samuel Henley,C
8477413,Sven Andrighetto,R
8477456,J.T. Compher,L
8478073,Anton Lindholm,D
8478421,A.J. Greer,L
8479370,Tyson Jost,C
8474092,Jeremy Smith,G
8477484,Spencer Martin,G
8474569,Colin Wilson,C
8474660,David Warsofsky,D
8475729,Mark Alt,D
8475747,Patrik Nemeth,D
8476855,Nail Yakupov,R
8476952,Dominic Toninato,C
8477021,Alexander Kerfoot,C
8477973,Vladislav Kamenev,C
8478842,Andrei Mironov,D
8479398,Samuel Girard,D
8473541,Jonathan Bernier,G
8477202,Andrew Hammond,G
8473544,Derick Brassard,C
8474013,Ian Cole,D
8474685,Matt Calvert,L
8477435,Ryan Graves,D
8477448,Marko Dano,C
8480326,Sheldon Dries,C
8481186,Logan O'Connor,R
8480069,Cale Makar,D
8475831,Philipp Grubauer,G
8480925,Pavel Francouz,G
8466333,Andrew Ference,D
8468611,Matt Hendricks,C
8471232,Lauri Korpikoski,L
8471284,Andrej Sekera,D
8471348,Nikita Nikitin,D
8471385,Adam Pardy,D
8471490,Adam Cracknell,R
8471678,Benoit Pouliot,L
8471816,Mark Fayne,D
8473468,Eric Gryba,D
8473914,Mark Letestu,C
8473962,Teddy Purcell,L
8473970,Rob Klinkhammer,L
8473989,Luke Gazdic,L
8474034,Pat Maroon,L
8474586,Jordan Eberle,R
8474602,Justin Schultz,D
8475165,Anton Lander,C
8475178,Zack Kassian,R
8475791,Taylor Hall,L
8475869,Brandon Davidson,D
8476336,Iiro Pakarinen,R
8476431,Adam Clendening,D
8476454,Ryan Nugent-Hopkins,C
8476472,Oscar Klefbom,D
8476779,Brad Hunt,D
8476852,Griffin Reinhart,D
8476855,Nail Yakupov,R
8476915,Jujhar Khaira,L
8477249,Andrew Miller,C
8477415,Anton Slepyshev,L
8477498,Darnell Nurse,D
8477851,Jordan Oesterle,D
8477934,Leon Draisaitl,C
8478402,Connor McDavid,C
8475195,Anders Nilsson,G
8475660,Cam Talbot,G
8476316,Laurent Brossoit,G
8471729,Kris Russell,D
8471976,David Desharnais,C
8473473,Milan Lucic,L
8475192,Taylor Beck,L
8475752,Tyler Pitlick,C
8476416,Dillon Simpson,D
8476457,Adam Larsson,D
8476988,Matt Benning,D
8479344,Jesse Puljujarvi,R
8479465,Drake Caggiula,C
8475361,Jonas Gustavsson,G
8469500,Michael Cammalleri,L
8469638,Jussi Jokinen,L
8474089,Brad Malone,C
8476397,Keegan Lowe,D
8476427,Ty Rattie,R
8476458,Ryan Strome,C
8476857,Pontus Aberg,L
8477573,Nathan Walker,L
8478451,Ethan Bear,D
8479483,Yohann Auvitu,D
8479977,Kailer Yamamoto,R
8471219,Al Montoya,G
8470803,Kyle Brodziak,C
8474040,Sam Gagner,C
8474520,Jason Garrison,D
8475163,Alex Chiasson,R
8475227,Chris Wideman,D
8475430,Brandon Manning,D
8475727,Ryan Spooner,C
8475755,Alexander Petrovic,D
8475857,Kevin Gravel,D
8476356,Tobias Rieder,R
8477458,Valentin Zykov,L
8477529,Colby Cave,C
8477680,Josh Currie,R
8478442,Cooper Marody,C
8478452,Caleb Jones,D
8479466,Patrick Russell,R
8479970,Joseph Gambardella,C
8480803,Evan Bouchard,D
8475156,Mikko Koskinen,G
8476932,Anthony Stolarz,G
8467875,Daniel Sedin,L
8467876,Henrik Sedin,C
8468085,Radim Vrbata,R
8469465,Dan Hamhuis,D
8470274,Chris Higgins,L
8470358,Alexandre Burrows,R
8471283,Brandon Prust,L
8471303,Alexander Edler,D
8471490,Adam Cracknell,R
8471498,Jannik Hansen,R
8473415,Alex Biega,D
8473432,Derek Dorsett,R
8474091,Brandon Sutter,C
8474134,Yannick Weber,D
8474579,Luca Sbisa,D
8474749,Matt Bartkowski,D
8475223,Linden Vey,R
8475690,Christopher Tanev,D
8475770,Emerson Etem,R
8475836,Alex Friesen,C
8476166,Taylor Fedun,D
8476388,Andrey Pedan,D
8476414,Alexandre Grenier,R
8476440,Markus Granlund,C
8476466,Sven Baertschi,L
8476867,Brendan Gaunce,C
8477018,Ben Hutton,D
8477445,Hunter Shinkaruk,C
8477500,Bo Horvat,C
8477589,Ronalds Kenins,L
8477816,Michael Zalewski,L
8477937,Jake Virtanen,R
8477955,Jared McCann,C
8477997,Nikita Tryamkin,D
8468011,Ryan Miller,G
8473614,Richard Bachman,G
8474593,Jacob Markstrom,G
8470626,Loui Eriksson,L
8471681,Jack Skille,R
8474707,Philip Larsen,D
8475210,Anton Rodin,R
8475213,Drew Shore,C
8475790,Erik Gudbranson,D
8475808,Michael Chaput,C
8476390,Joseph Cramarossa,C
8476423,Reid Boucher,C
8476425,Joseph LaBate,C
8477091,Evan McEneny,D
8477126,Jayson Megna,C
8477916,Borna Rendulic,R
8477958,Nikolay Goldobin,R
8478444,Brock Boeser,R
8479442,Troy Stecher,D
8479969,Griffen Molino,C
8469638,Jussi Jokinen,L
8470598,Thomas Vanek,L
8474040,Sam Gagner,C
8474584,Michael Del Zotto,D
8475343,Nic Dowd,C
8475423,Darren Archibald,R
8475788,Alexander Burmistrov,C
8476884,Derrick Pouliot,D
8476894,Brendan Leipsic,L
8477085,Ashton Sautner,D
8477353,Tyler Motte,C
8478874,Adam Gaudette,C
8480163,Philip Holm,D
8475195,Anders Nilsson,G
8477967,Thatcher Demko,G
8474291,Jay Beagle,C
8474568,Luke Schenn,D
8474849,Antoine Roussel,L
8475727,Ryan Spooner,C
8476410,Josh Leivo,L
8476871,Tanner Pearson,L
8477213,Tim Schaller,C
8478465,Guillaume Brisebois,D
8479772,Zack MacEwen,C
8480012,Elias Pettersson,C
8480800,Quinn Hughes,D
8481425,Josh Teves,D
8481479,Brogan Rafferty,D
8480022,Michael Dipietro,G
8467423,Shawn Horcoff,C
8469490,Tim Jackman,R
8469598,Kevin Bieksa,D
8470612,Ryan Getzlaf,C
8470616,Ryan Kesler,C
8470621,Corey Perry,R
8470775,Nate Thompson,C
8470886,Clayton Stoner,D
8471390,Mike Santorelli,C
8471699,Andrew Cogliano,C
8473465,Jamie McGinn,L
8473485,Chris Stewart,R
8473560,Korbinian Holzer,D
8474034,Pat Maroon,L
8474102,David Perron,L
8474176,Carl Hagelin,L
8475155,Simon Despres,D
8475164,Jakob Silfverberg,R
8475204,Brandon Pirri,C
8475222,Sami Vatanen,D
8475764,Cam Fowler,D
8475780,Chris Wagner,R
8475958,Michael Sgarbossa,C
8476116,Ryan Garbutt,C
8476158,Harry Zolnierczyk,L
8476312,Josh Manson,D
8476384,Max Friberg,R
8476474,Stefan Noesen,R
8476483,Rickard Rakell,L
8476854,Hampus Lindholm,D
8477447,Shea Theodore,D
8477941,Nick Ritchie,L
8478137,Jiri Sekac,L
8471418,Anton Khudobin,G
8475883,Frederik Andersen,G
8476434,John Gibson,G
8468535,Antoine Vermette,C
8470622,Patrick Eaves,R
8471664,Mason Raymond,L
8471766,Jared Boll,R
8474130,Corey Tropp,R
8475770,Emerson Etem,R
8476390,Joseph Cramarossa,C
8476400,Logan Shaw,R
8476866,Nicolas Kerdiles,L
8477034,Jaycob Megna,D
8477466,Nick Sorensen,R
8477986,Brandon Montour,D
8478131,Ondrej Kase,R
8478491,Jacob Larsson,D
8479290,Kalle Kossila,C
8473541,Jonathan Bernier,G
8474682,Dustin Tokarski,G
8466251,Jason Chimera,L
8467400,Francois Beauchemin,D
8467967,Chris Kelly,C
8474641,Adam Henrique,C
8474683,Derek Grant,C
8475436,Mike Liambas,L
8476407,Andy Welinski,D
8476806,J.T. Brown,R
8476971,Kevin Roy,C
8477010,Joseph Blandisi,C
8477929,Dennis Rasmussen,C
8477969,Marcus Pettersson,D
8478873,Troy Terry,R
8479613,Giovanni Fiore,L
8468011,Ryan Miller,G
8473499,Reto Berra,G
8471490,Adam Cracknell,R
8474568,Luke Schenn,D
8474584,Michael Del Zotto,D
8475842,Sam Carrick,C
8476043,Ben Street,C
8476207,Brian Gibbons,C
8476857,Pontus Aberg,L
8476913,Devin Shore,C
8477009,Jake Dotchin,D
8477205,Andrej Sustr,D
8477240,Carter Rowney,C
8478029,Chase De Leo,C
8478425,Brendan Guhle,D
8478466,Daniel Sprong,R
8479351,Sam Steel,C
8479368,Max Jones,L
8479372,Josh Mahura,D
8480031,Max Comtois,L
8480082,Justin Kloos,C
8480748,Kiefer Sherwood,R
8480806,Isac Lundestrom,C
8473434,Chad Johnson,G
8479294,Kevin Boyle,G
8468635,Travis Moen,L
8469455,Jason Spezza,C
8469466,Ales Hemsky,R
8469544,Patrick Sharp,L
8469665,Johnny Oduya,D
8469759,Vernon Fiddler,C
8470622,Patrick Eaves,R
8471274,Alex Goligoski,D
8471729,Kris Russell,D
8473994,Jamie Benn,L
8474098,Colton Sceviour,C
8474218,Jason Demers,D
8474818,Jordie Benn,D
8474849,Antoine Roussel,L
8475236,Cody Eakin,C
8475310,Curtis McKenzie,L
8475730,Stephen Johns,D
8475747,Patrik Nemeth,D
8475794,Tyler Seguin,C
8475906,John Klingberg,D
8476279,Jyrki Jokipakka,D
8476439,Brett Ritchie,R
8476467,Jamie Oleksiak,D
8476889,Radek Faksa,C
8476902,Esa Lindell,D
8476913,Devin Shore,C
8477406,Mattias Janmark,C
8477450,Jason Dickinson,C
8477501,Valeri Nichushkin,R
8470140,Kari Lehtonen,G
8474550,Antti Niemi,G
8469465,Dan Hamhuis,D
8470201,Jiri Hudler,R
8471232,Lauri Korpikoski,L
8471490,Adam Cracknell,R
8474688,Greg Pateryn,D
8475413,Justin Dowling,C
8476471,Mark McNeill,C
8476966,Gemel Smith,C
8477461,Remi Elie,L
8477945,Julius Honka,D
8478495,Denis Gurianov,R
8470760,Marc Methot,D
8471228,Alexander Radulov,R
8471691,Martin Hanzal,C
8475752,Tyler Pitlick,C
8477471,Dillon Heatherington,D
8470093,Mike McKenna,G
8471750,Ben Bishop,G
8471260,Blake Comeau,L
8471392,Roman Polak,D
8471699,Andrew Cogliano,C
8473588,Erik Condra,R
8473933,Ben Lovejoy,D
8475692,Mats Zuccarello,R
8476166,Taylor Fedun,D
8476941,Connor Carrick,D
8477810,Joel Hanley,D
8478449,Roope Hintz,L
8479416,Ben Gleason,D
8479945,Gavin Bayreuther,D
8480036,Miro Heiskanen,D
8480769,Joel L'Esperance,C
8471418,Anton Khudobin,G
8479016,Landon Bow,G
8467329,Vincent Lecavalier,C
8467452,Rob Scuderi,D
8468483,Marian Gaborik,R
8469555,Christian Ehrhoff,D
8470121,Matt Greene,D
8470604,Jeff Carter,C
8470606,Dustin Brown,R
8471240,Jeff Schultz,D
8471346,Kris Versteeg,R
8471685,Anze Kopitar,C
8473453,Trevor Lewis,C
8473473,Milan Lucic,L
8473571,Jamie McBain,D
8474100,Dwight King,L
8474162,Jake Muzzin,D
8474166,Alec Martinez,D
8474563,Drew Doughty,D
8474568,Luke Schenn,D
8475160,Kyle Clifford,L
8475188,Brayden McNabb,D
8475325,Jordan Nolan,C
8475343,Nic Dowd,C
8475726,Tyler Toffoli,R
8475738,Jordan Weal,C
8475762,Derek Forbort,D
8475857,Kevin Gravel,D
8476352,Michael Mersch,L
8476404,Andy Andreoff,C
8476406,Nick Shore,C
8476871,Tanner Pearson,L
8469514,Peter Budaj,G
8471734,Jonathan Quick,G
8473523,Jhonas Enroth,G
8462042,Jarome Iginla,R
8470104,Tom Gilbert,D
8471682,Devin Setoguchi,R
8473962,Teddy Purcell,L
8476983,Paul LaDue,D
8477380,Jonny Brodzinski,C
8477960,Adrian Kempe,C
8471750,Ben Bishop,G
8473553,Jeff Zatkoff,G
8475789,Jack Campbell,G
8469500,Michael Cammalleri,L
8469638,Jussi Jokinen,L
8469639,Brooks Laich,C
8470602,Dion Phaneuf,D
8470775,Nate Thompson,C
8471338,Torrey Mitchell,C
8476020,Andrew Crescenzi,C
8476356,Tobias Rieder,R
8477073,Kurtis MacDermid,D
8477428,Justin Auger,R
8477850,Christian Folin,D
8478020,Michael Amadio,C
8480113,Alex Iafallo,L
8480147,Oscar Fantenberg,D
8480771,Daniel Brickley,D
8475311,Darcy Kuemper,G
8469454,Ilya Kovalchuk,L
8474176,Carl Hagelin,L
8476894,Brendan Leipsic,L
8477957,Nikita Scherbak,R
8478455,Austin Wagner,L
8478911,Matt Roy,D
8479336,Carl Grundstrom,R
8479644,Matt Luff,R
8479994,Jaret Anderson-Dolan,C
8480336,Sean Walker,D
8480776,Sheldon Rempal,R
8481481,Blake Lizotte,C
8477361,Cal Petersen,G
8464977,Dainius Zubrus,C
8466138,Joe Thornton,C
8466139,Patrick Marleau,C
8468208,Joel Ward,R
8468542,Paul Martin,D
8470613,Brent Burns,D
8470794,Joe Pavelski,C
8471371,Mike Brown,R
8471392,Roman Polak,D
8471709,Marc-Edouard Vlasic,D
8473562,John McCarthy,C
8474027,Justin Braun,D
8474053,Logan Couture,C
8474096,Nick Spaling,C
8474230,Micheal Haley,C
8474516,Bryan Lerg,C
8474727,Ben Smith,R
