,Name,ARIMA,Name,DeepAR
412,,,Scott Wilson,46.684210777282715
413,,,Tyler Ennis,46.5695686340332
414,,,Brooks Orpik,45.33124661445618
415,,,Will Butcher,45.18595391511917
416,,,Matt Beleskey,45.16585177183151
417,,,J.T. Brown,45.152801871299744
418,,,Alexander Kerfoot,45.10921049118042
419,,,Jake DeBrusk,44.467189610004425
420,,,Tom Kuhnhackl,44.02280616760254
421,,,Frank Vatrano,43.946345090866096
422,,,Derek MacKenzie,43.5830260515213
423,,,Andrej Sustr,43.15148663520813
424,,,Adrian Kempe,43.11417692899704
425,,,David Schlemko,43.003491640090935
426,,,Kyle Clifford,42.29811882972717
427,,,Christopher Tanev,42.04948043823242
428,,,Brandon Manning,41.81388258934021
429,,,Magnus Paajarvi,41.810532093048096
430,,,Mikhail Sergachev,41.399449825286865
431,,,Alex Tuch,41.27714285254479
432,,,Kevin Connauton,40.97572922706604
433,,,Brett Ritchie,40.84750860929489
434,,,Vinnie Hinostroza,40.745988249778755
435,,,Dmitry Kulikov,40.3026534318924
436,,,Matt Hunwick,40.02908939123154
437,,,Tim Schaller,39.95533657073975
438,,,Cedric Paquette,39.438798308372505
439,,,Brandon Montour,39.221219778060906
440,,,Troy Stecher,39.03667449951172
441,,,Drake Caggiula,38.396023273468025
442,,,Tyler Pitlick,38.07545721530915
443,,,Chris Wideman,37.98808336257935
444,,,Chris Wagner,37.82928085327149
445,,,Ben Lovejoy,37.75857186317444
446,,,Ryan Pulock,37.61361461877823
447,,,Zach Bogosian,37.38973289728165
448,,,Phillip Di Giuseppe,37.13569039106368
449,,,Luke Schenn,36.95859181880951
450,,,Stefan Noesen,36.958056092262275
451,,,Jake Virtanen,36.65177208185196
452,,,Jakub Vrana,36.36986494064331
453,,,Matt Benning,36.11456018686295
454,,,Mark Barberio,36.002911686897285
455,,,Christian Fischer,35.9640229344368
456,,,Curtis Lazar,35.791164696216576
457,,,Brendan Smith,35.289507508277886
458,,,Jesper Bratt,35.17022013664245
459,,,Luca Sbisa,35.10692095756531
460,,,Dylan DeMelo,34.905434489250176
461,,,Nikita Zadorov,34.507394671440125
462,,,Evan Rodrigues,34.282450675964355
463,,,Jakob Chychrun,34.10497796535493
464,,,Charles Hudon,34.08428978919983
465,,,Reid Boucher,33.880789756774895
466,,,Daniel Carr,33.797720193862915
467,,,Jordan Weal,33.387624979019165
468,,,Charlie McAvoy,33.253065466880805
469,,,Adam Pelech,33.15833067893982
470,,,Erik Gustafsson,32.991963535547264
471,,,Matt Hendricks,32.71597743034363
472,,,Markus Nutivaara,32.5123929977417
473,,,Vladimir Sobotka,32.022270441055305
474,,,Denis Malgin,31.88343143463135
475,,,Nolan Patrick,31.03459119796753
476,,,Marcus Kruger,31.00747865438461
477,,,Nick Jensen,30.135329246521
478,,,Blake Coleman,30.04054945707321
479,,,Greg Pateryn,30.00606751441956
480,,,Derek Grant,29.76394665241241
481,,,Derrick Pouliot,29.33761864900589
482,,,Nicolas Deslauriers,29.317090451717377
483,,,Eric Fehr,29.285574436187748
484,,,Valeri Nichushkin,29.21791845560074
485,,,Nic Dowd,28.412487030029297
486,,,J.T. Compher,28.30530881881714
487,,,Jesse Puljujarvi,28.02255415916443
488,,,Brandon Carlo,27.94996690750122
489,,,Marc Methot,27.51830899715424
490,,,Nate Thompson,27.501933574676514
491,,,Thomas Chabot,27.222988605499268
492,,,Mark Jankowski,27.20418146252632
493,,,Patrik Nemeth,27.177690982818604
494,,,Alex Iafallo,27.11377453804016
495,,,Brandon Tanev,26.753218352794647
496,,,Cody McLeod,26.72593402862549
497,,,Adam McQuaid,26.55268013477325
498,,,Carl Gunnarsson,26.402535796165466
499,,,Mike Reilly,26.35176116228104
500,,,Jamie Oleksiak,26.20686984062195
501,,,Brian Gibbons,26.04032278060913
502,,,Joseph Blandisi,26.00824451446533
503,,,Adam Cracknell,25.90101623535156
504,,,Vince Dunn,25.87687447667122
505,,,Ivan Barbashev,25.8103187084198
506,,,Brendan Leipsic,25.48344349861145
507,,,Martin Frk,24.95806562900543
508,,,Christian Folin,24.919863522052765
509,,,Tyler Bertuzzi,24.873626440763477
510,,,Samuel Girard,24.566634595394135
511,,,Connor Carrick,24.56348150968552
512,,,Jujhar Khaira,24.5392724275589
513,,,Joe Morrow,24.19002866744995
514,,,Brad Hunt,24.07262635231018
515,,,Marko Dano,23.83670854568481
516,,,Tyson Jost,23.815009146928787
517,,,Joel Eriksson Ek,23.55542516708374
518,,,Tony DeAngelo,23.16407692432404
519,,,Chris Thorburn,23.124303579330444
520,,,Yannick Weber,23.021806955337524
521,,,Sonny Milano,22.904780387878414
522,,,Matt Bartkowski,22.78387928009033
523,,,Micheal Haley,22.76821136474609
524,,,Scott Mayfield,22.285550594329834
525,,,Matt Irwin,22.018558979034424
526,,,Alan Quine,22.008281350135803
527,,,Jake Dotchin,21.90395587682724
528,,,Joshua Ho-Sang,21.85112714767456
529,,,Robert Bortuzzo,21.83024525642395
530,,,Jordan Nolan,21.6663311123848
531,,,Erik Gudbranson,21.466003060340878
532,,,Garnet Hathaway,21.14139318466186
533,,,Jason Garrison,21.05243396759033
534,,,Lukas Sedlak,20.97533583641052
535,,,Brandon Davidson,20.96786880493164
536,,,Remi Elie,20.933452367782593
537,,,Nic Petan,20.91962993144989
538,,,Jordan Oesterle,20.50561189651489
539,,,Alex Biega,20.257218480110172
540,,,Jan Rutta,20.09031367301941
541,,,Josh Leivo,20.063104182481766
542,,,Xavier Ouellet,20.037319898605347
543,,,Ryan Carpenter,20.033520758152008
544,,,Fredrik Claesson,19.981995701789856
545,,,Adam Clendening,19.946992397308353
546,,,Nikolay Goldobin,19.831710934638977
547,,,Mark Borowiecki,19.696184277534485
548,,,Michal Kempny,19.617237061262127
549,,,Nate Prosser,19.059616446495053
550,,,Andreas Martinsen,18.881960391998287
551,,,Barclay Goodrow,18.57839375734329
552,,,Gustav Forsling,18.28364413976669
553,,,Chandler Stephenson,18.15849381685257
554,,,Miikka Salomaki,18.011836707592014
555,,,Pontus Aberg,17.954597353935238
556,,,Austin Czarnik,17.552022635936734
557,,,Noel Acciari,17.396796047687527
558,,,Steven Santini,17.17052149772644
559,,,Connor Brickley,17.033883690834045
560,,,Stephen Gionta,16.968276262283325
561,,,John Hayden,16.96100401878357
562,,,Ty Rattie,16.949102878570553
563,,,Ryan Murphy,16.932877779006958
564,,,Gemel Smith,16.876007318496704
565,,,Tomas Nosek,16.586475133895874
566,,,Sean Kuraly,16.332450270652767
567,,,Nikita Soshnikov,16.002479553222653
568,,,Anthony Bitetto,15.967909932136536
569,,,Cory Conacher,15.934160232543945
570,,,Matt Grzelcyk,15.596573442220688
571,,,Dominik Simon,15.228276997804642
572,,,Gabriel Bourque,15.218385994434355
573,,,Jon Merrill,15.039565563201904
574,,,Josh Archibald,15.03480076789856
575,,,Lawson Crouse,14.99678087234497
576,,,Dalton Prout,14.983502924442293
577,,,Chad Ruhwedel,14.951227962970734
578,,,Neal Pionk,14.926873445510864
579,,,Paul Carey,14.855799973011015
580,,,Tyler Motte,14.422037363052368
581,,,Christian Djoos,14.074875712394714
582,,,Justin Falk,13.961584568023682
583,,,Eric Gryba,13.914504051208494
584,,,Martin Marincin,13.8886456489563
585,,,Jack Roslovic,13.819380402565002
586,,,Travis Dermott,13.810982197523115
587,,,Greg McKegg,13.30707550048828
588,,,Slater Koekkoek,13.256729662418365
589,,,Cody Goloubef,13.008467197418213
590,,,Jacob de la Rose,12.954962730407715
591,,,Madison Bowey,12.38922107219696
592,,,Anthony Cirelli,12.351585865020757
593,,,Carter Rowney,12.149665832519533
594,,,Casey Nelson,12.139427542686462
595,,,Brendan Gaunce,12.01175183057785
596,,,Joakim Ryan,11.948996782302856
597,,,Anders Bjork,11.91663420200348
598,,,Paul LaDue,11.890421271324158
599,,,Marcus Sorensen,11.886375904083252
600,,,Matt Puempel,11.879423260688784
601,,,David Kampf,11.851772367954256
602,,,Brett Kulak,11.576659321784973
603,,,Tim Heed,11.47362470626831
604,,,William Carrier,11.104934215545654
605,,,Michael Chaput,11.06546586751938
606,,,Erik Condra,10.993437051773071
607,,,Kasperi Kapanen,10.895849972963333
608,,,Kerby Rychel,10.862853527069092
609,,,Travis Sanheim,10.82826554775238
610,,,Robert Hagg,10.59097582101822
611,,,Oskar Sundqvist,10.388532876968382
612,,,Ryan Donato,10.222937703132628
613,,,Dylan Strome,10.19248631596565
614,,,Scott Harrington,10.104885280132292
615,,,Korbinian Holzer,10.00549018383026
616,,,Matt Tennyson,9.994627237319945
617,,,Kevin Gravel,9.978727161884306
618,,,Zac Rinaldo,9.938336789608002
619,,,Taylor Fedun,9.601871699094774
620,,,Tage Thompson,9.551445454359056
621,,,Boo Nieves,9.254626601934431
622,,,Julius Honka,9.025355339050297
623,,,Max McCormick,8.97617518901825
624,,,Rocco Grimaldi,8.963579833507536
625,,,Darren Archibald,8.903016686439514
626,,,Oscar Fantenberg,8.8822261095047
627,,,MacKenzie Weegar,8.831102132797243
628,,,Michael Amadio,8.6486898958683
629,,,Zach Sanford,8.30089008808136
630,,,Markus Hannikainen,8.24994295835495
631,,,Valentin Zykov,8.031002521514894
632,,,Nick Lappin,7.963024139404298
633,,,Jonny Brodzinski,7.958792567253113
634,,,Justin Bailey,7.957383513450623
635,,,Haydn Fleury,7.915855944156648
636,,,Luke Witkowski,7.9006922245025635
637,,,Jakub Jerabek,7.794309616088867
638,,,Adam Erne,7.437394380569457
639,,,Victor Mete,7.36960768699646
640,,,Steven Kampfer,7.088262379169464
641,,,Corban Knight,6.955399215221405
642,,,Matthew Peca,6.954152762889862
643,,,Zach Trotman,6.948884963989258
644,,,Nikita Scherbak,6.905539870262146
645,,,Kevin Roy,6.903062701225281
646,,,Tanner Fritz,6.8054161071777335
647,,,Zach Aston-Reese,6.43390291929245
648,,,Mirco Mueller,6.352578163146973
649,,,Oskar Lindblom,6.115390107035638
650,,,Brad Malone,6.0154030323028564
651,,,Colin White,5.962938621640205
652,,,Nick Paul,5.951454639434815
653,,,Joel Hanley,5.947548866271973
654,,,Ross Johnston,5.931767225265503
655,,,Stefan Elliott,5.8462469577789316
656,,,Casey Mittelstadt,5.801203042268754
657,,,Daniel Sprong,5.6118887066841125
658,,,Jason Dickinson,5.5295897126197815
659,,,Frederik Gauthier,5.528598129749298
660,,,Ian McCoshen,4.9966598749160775
661,,,Anthony Peluso,4.975289404392242
662,,,Dylan McIlrath,4.9609825015068045
663,,,Vinni Lettieri,4.948633849620818
664,,,John Gilmour,4.915596842765809
665,,,Danny O'Regan,4.8960620164871225
666,,,Luke Kunin,4.684769064188004
667,,,Brendan Guhle,4.632087707519531
668,,,Kenny Agostino,4.610524833202362
669,,,Marcus Pettersson,4.5363357812166205
670,,,Mario Kempe,4.339205354452133
671,,,Nick Seeler,4.172687470912933
672,,,Andreas Johnsson,4.119750499725342
673,,,Filip Chytil,4.010227918624878
674,,,Peter Cehlarik,3.991915583610535
675,,,A.J. Greer,3.9836912155151367
676,,,Frederick Gaudreau,3.982578992843628
677,,,Laurent Dauphin,3.9821839332580566
678,,,Filip Chlapik,3.9538881778717037
679,,,John Quenneville,3.952256441116333
680,,,Dean Kukan,3.946199476718903
681,,,Maxim Mamin,3.937839090824127
682,,,Zac Dalpe,3.9363667368888855
683,,,Cameron Gaunce,3.9334352612495422
684,,,Kurtis MacDermid,3.929470181465149
685,,,Kyle Rau,3.926609754562378
686,,,Anton Lindholm,3.852384090423584
687,,,Lucas Wallmark,3.568246088922024
688,,,Warren Foegele,3.4055709838867188
689,,,Phil Varone,3.130249559879303
690,,,Dylan Sikura,3.1279515027999882
691,,,Carl Dahlstrom,2.990495413541794
692,,,Jordan Schmaltz,2.982766330242157
693,,,Blake Pietila,2.9718809127807617
694,,,Kailer Yamamoto,2.9679995775222783
695,,,Sammy Blais,2.949955701828003
696,,,Noah Juulsen,2.928093671798706
697,,,Gabriel Carlsson,2.92719429731369
698,,,Joe Hicketts,2.926683604717254
699,,,Tomas Hyka,2.919031471014023
700,,,Christian Wolanin,2.720220610499382
701,,,Henrik Borgstrom,2.1945455223321915
702,,,Lias Andersson,2.1437216252088547
703,,,Ben Harpur,2.1071919202804565
704,,,Andy Welinski,2.041015461087227
705,,,Justin Dowling,1.999944508075714
706,,,Louie Belpedio,1.9989465653197842
707,,,Kalle Kossila,1.9695906043052676
708,,,Anton Blidh,1.9597936868667605
709,,,Dominic Toninato,1.9382150173187256
710,,,Alexander Nylander,1.9312273263931277
711,,,Andrew Agozzino,1.9294176101684568
712,,,Justin Holl,1.8997837901115415
713,,,Ashton Sautner,1.773368060588837
714,,,Adam Gaudette,1.604544460773468
715,,,Travis Boyd,1.385589279234409
716,,,Rasmus Andersson,1.3594488054513931
717,,,Brendan Lemieux,1.287924751639366
718,,,Sami Niku,1.2306496798992157
719,,,Christian Jaros,1.2086790055036545
720,,,Troy Terry,1.0555398985743525
721,,,C.J. Smith,1.0503154434263706
722,,,Dryden Hunt,1.0323414131999016
723,,,Wade Megan,1.0279259514063597
724,,,Jaycob Megna,1.013496294617653
725,,,Kurtis Gabriel,1.0132218152284622
726,,,Ben Street,1.012456476688385
727,,,Nathan Walker,1.0089292023330927
728,,,Kevin Rooney,1.0061049461364746
729,,,Daniel Brickley,1.0040327911265194
730,,,Jean-Sebastien Dea,0.9968418031930923
731,,,Jordan Greenway,0.9870878420770168
732,,,Ryan Lomberg,0.9832375049591064
733,,,Logan Brown,0.9753791093826294
734,,,Calle Rosen,0.9724641442298888
735,,,Dillon Heatherington,0.9414400458335876
736,,,Colby Cave,0.7698454856872559
737,,,Erik Burgdoerfer,0.7660427093505859
738,,,Oliver Kylington,0.7614043354988098
739,,,Jacob Larsson,0.5805261060595512
740,,,Michael Dal Colle,0.5698471441864967
741,,,Jakob Forsbacka Karlsson,0.5227371901273727
742,,,Andrew Mangiapane,0.468519039452076
743,,,Vladislav Kamenev,0.3015870973467827
744,,,Denis Gurianov,0.19859524071216586
745,,,Chris Butler,0.06560789793729782
746,,,Danick Martel,0.04030690714716911
747,,,Garrett Wilson,0.03571199253201485
748,,,Martin Necas,0.033438842743635185
749,,,Alex Formenton,0.02500525489449501
750,,,Jack Rodewald,0.02136295288801193
751,,,Steven Fogarty,0.02070652507245541
752,,,Dylan Gambrell,0.019110703840851784
753,,,Eric Robinson,0.01738797314465046
754,,,Samuel Morin,0.015839019790291786
755,,,Eeli Tolvanen,0.015064698643982409
756,,,Brian Lashoff,0.012824936769902706
757,,,Nicolas Roy,0.01150041725486517
758,,,Andreas Englund,0.011150914244353771
759,,,Dominic Turgeon,0.010137587785720823
760,,,Tyrell Goulbourne,0.008176433853805065
761,,,Eric Tangradi,0.007353799417614938
762,,,Sam Carrick,0.0068305605091154575
763,,,Mark Alt,0.005010928958654404
764,,,Janne Kuokkanen,0.0038386515807360406
765,,,Trevor Carrick,0.003164851106703281
766,,,Chase De Leo,0.0017006329726427796
767,,,Nelson Nogier,0.0016785950865596533
768,,,Justin Kloos,0.0008196755661629139
769,,,Kyle Capobianco,0.0007342830067500473
770,,,Dakota Mermis,-0.00025565584655851126
