,Name,ARIMA,Name,DeepAR
88,Craig Smith,173.08043179768796,Bo Horvat,252.1561899185181
89,Ryan Ellis,171.71452645269173,Tyler Toffoli,251.6216255426407
90,Nick Leddy,171.55186456932472,Alex Galchenyuk,251.35065579414365
91,Mathieu Perreault,170.68863914250173,Reilly Smith,250.4740195274353
92,Jordan Staal,170.262991839986,Mikko Koivu,250.05845642089847
93,Rasmus Ristolainen,169.51502145922674,Sean Couturier,248.6241459846497
94,Ondrej Palat,169.33333329900412,Nino Niederreiter,248.61582374572757
95,Mathew Barzal,168.97590361445813,Jason Spezza,247.056649684906
96,Jakob Silfverberg,167.42615950525442,Duncan Keith,246.53623008728027
97,Zach Parise,166.57983125764673,Alex Killorn,246.45684123039246
98,Brayden Point,162.027709795595,Tyson Barrie,243.72564721107483
99,Kyle Connor,161.9332039199362,William Karlsson,243.597224354744
100,Alex Killorn,161.69700737638394,Derick Brassard,242.3868992328644
101,Artem Anisimov,161.41509406238168,Jason Zucker,242.3082391023636
102,Nick Foligno,160.78828828639803,Charlie Coyle,242.2859296798706
103,Brock Nelson,160.15637802307566,Shayne Gostisbehere,242.16309595108032
104,Tomas Hertl,155.86976337683134,Alex Pietrangelo,237.5403813123703
105,Morgan Rielly,155.59449063904486,John Carlson,237.48814010620117
106,Travis Zajac,154.85185132485685,Logan Couture,237.1292123794556
107,Jason Spezza,153.02616294177955,Jakob Silfverberg,236.21026575565338
108,TJ Brodie,152.85267837285002,Rasmus Ristolainen,235.92068672180176
109,Boone Jenner,152.2058817841729,Morgan Rielly,233.8559768199921
110,Matthew Tkachuk,151.50663857555634,Dustin Brown,233.7044457197189
111,Duncan Keith,148.35554289373647,Frans Nielsen,233.49449634552002
112,Ryan Kesler,145.72456827606374,Jonathan Huberdeau,233.2342726588249
113,Justin Faulk,144.85046164201094,Mika Zibanejad,232.91645622253415
114,Jared Spurgeon,144.03755257805506,Alexander Steen,232.372314453125
115,Bobby Ryan,140.83166580416403,Patric Hornqvist,230.2675074338913
116,Carl Soderberg,140.55512681647994,Tanner Pearson,229.99914264678955
117,Oskar Lindblom,138.07330232878002,Seth Jones,229.78039789199832
118,Colton Parayko,137.00270009583468,Steven Stamkos,229.06042242050168
119,Evgenii Dadonov,136.8904108509949,Tyler Johnson,226.4689064025879
