,gameNumber,predictions,low,high,name
0,1,134.08633929491043,131.40281385183334,136.94163662195206,Mark Giordano
1,2,135.2148122191429,130.64924830198288,139.27755904197693,Mark Giordano
2,3,136.1974727511406,130.4325161576271,141.00862777233124,Mark Giordano
3,4,136.97494965791702,131.7354383468628,140.71753352880478,Mark Giordano
4,5,137.68063080310822,132.3004274368286,141.87278026342392,Mark Giordano
5,6,138.16993761062622,133.30685126781464,142.00710582733154,Mark Giordano
6,7,138.92155373096466,133.57313346862793,143.34109550714493,Mark Giordano
7,8,139.73535418510437,133.29772102832794,144.84424138069153,Mark Giordano
8,9,140.3022556900978,132.51396399736404,145.6985233426094,Mark Giordano
9,10,141.03119426965714,134.4492416381836,147.14001542329788,Mark Giordano
10,11,141.75919514894485,134.87893044948578,148.8677158355713,Mark Giordano
11,12,142.36823147535324,134.6248630285263,149.14823627471924,Mark Giordano
12,13,142.90032702684402,134.66555428504944,149.40451222658157,Mark Giordano
13,14,143.92022413015366,134.81575906276703,152.78220731019974,Mark Giordano
14,15,144.4497903585434,135.30486845970154,153.21483260393143,Mark Giordano
15,16,145.18921637535095,136.3694913983345,155.19555169343948,Mark Giordano
16,17,145.95685976743698,135.9436891078949,155.9488581418991,Mark Giordano
17,18,146.74864894151688,136.68939524888992,157.6202348470688,Mark Giordano
18,19,147.42246061563492,137.877375125885,158.63049584627151,Mark Giordano
19,20,147.9371223449707,138.9896603822708,159.23406636714935,Mark Giordano
20,21,148.80034947395325,139.6198073029518,161.88193452358246,Mark Giordano
21,22,149.42653584480286,140.48978340625763,162.80454522371292,Mark Giordano
22,23,150.30944234132767,141.2237559556961,162.93666225671768,Mark Giordano
23,24,151.13010281324387,141.6540246605873,162.61353814601898,Mark Giordano
24,25,151.86236035823822,141.78134214878082,164.00130987167358,Mark Giordano
25,26,152.6395411491394,142.41304367780685,164.33962225914001,Mark Giordano
26,27,153.5308375954628,144.11468589305878,165.56907069683075,Mark Giordano
27,28,154.40683472156525,144.7773808836937,166.98815667629242,Mark Giordano
28,29,155.16955518722534,143.50465017557144,168.1704980134964,Mark Giordano
29,30,155.90546482801437,145.21977800130844,169.21165376901627,Mark Giordano
30,31,156.65961027145386,143.68748939037323,170.51650071144104,Mark Giordano
31,32,157.5790500640869,145.25565737485886,170.42936861515045,Mark Giordano
32,33,158.32333731651306,146.14220362901688,171.93406909704208,Mark Giordano
33,34,158.62053894996643,145.23173367977142,172.28912436962128,Mark Giordano
34,35,159.4461100101471,145.7088257074356,173.218878865242,Mark Giordano
35,36,160.1091628074646,147.02960121631622,174.697780251503,Mark Giordano
36,37,160.8191869854927,147.55461466312408,175.4225361943245,Mark Giordano
37,38,161.6153685450554,147.39006060361862,176.99829214811325,Mark Giordano
38,39,162.4562019109726,148.13208997249603,177.1918779015541,Mark Giordano
39,40,163.4724222421646,151.6665290594101,177.80829244852066,Mark Giordano
40,41,164.49579870700836,151.60080367326736,178.94952303171158,Mark Giordano
41,42,165.59278464317322,152.79593968391418,180.06523829698563,Mark Giordano
42,43,166.122141122818,153.36396396160126,182.4036653637886,Mark Giordano
